R1_path,R2_path,file_modality,measurement_sets,sequencing_run,lane,seqspec,barcode_onlist,guide_design,barcode_hashtag_map
IGVFFI9116XCRZ,IGVFFI4494XUTT,hash,IGVFDS6847GSEQ,1,5,IGVFFI0790CZMT,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI8581KLWR,IGVFFI0964HTZL,gRNA,IGVFDS3275TXAD,1,3,IGVFFI5709ZIJM,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI7157PKLV,IGVFFI6237UJYM,gRNA,IGVFDS3275TXAD,1,5,IGVFFI5709ZIJM,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI9232VVOL,IGVFFI2712YYNH,gRNA,IGVFDS6688BORQ,1,5,IGVFFI7570LGFF,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6460SNDH,IGVFFI4191TQLF,gRNA,IGVFDS6688BORQ,1,3,IGVFFI7570LGFF,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6928BHFG,IGVFFI2852ETDS,gRNA,IGVFDS0814DYDR,1,5,IGVFFI3050ZFNE,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3339OGPF,IGVFFI8653ZWGR,gRNA,IGVFDS0814DYDR,1,3,IGVFFI3050ZFNE,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI4572MTML,IGVFFI2847WALS,hash,IGVFDS9568EYXJ,1,5,IGVFFI1351YFFX,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI4391IVNB,IGVFFI6087PIMU,gRNA,IGVFDS1584ZJUM,1,3,IGVFFI3599FGRM,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI8039ITTT,IGVFFI7407PGVK,gRNA,IGVFDS1584ZJUM,1,5,IGVFFI3599FGRM,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI2969NDUE,IGVFFI3819FYIS,gRNA,IGVFDS0860HOHE,1,5,IGVFFI2822RAJY,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI7684MNVI,IGVFFI7599WCQQ,gRNA,IGVFDS0860HOHE,1,3,IGVFFI2822RAJY,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3219VIEB,IGVFFI6845OZQD,hash,IGVFDS5304ZOXD,1,5,IGVFFI2489GBMS,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI3553INWC,IGVFFI7257DATN,hash,IGVFDS6990PWDJ,1,5,IGVFFI0166PDSQ,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI4809PGDU,IGVFFI6454JELL,gRNA,IGVFDS3599AKSM,1,5,IGVFFI3495VUNK,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI5698WJVX,IGVFFI6926CAFM,gRNA,IGVFDS3599AKSM,1,3,IGVFFI3495VUNK,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI6128HTBZ,IGVFFI4337FLCS,hash,IGVFDS8493OWMF,1,5,IGVFFI1285EAND,IGVFFI9487JPEN,IGVFFI8270UPKB,IGVFFI3028BJFI
IGVFFI1465SQAI,IGVFFI1472PVRR,gRNA,IGVFDS9367JFNB,1,3,IGVFFI3849TLEO,IGVFFI9487JPEN,IGVFFI8270UPKB,
IGVFFI3538ICZW,IGVFFI3531WSOW,gRNA,IGVFDS9367JFNB,1,5,IGVFFI3849TLEO,IGVFFI9487JPEN,IGVFFI8270UPKB,
