short_name	gene_name	n_cells_assigned	n_guides	label_canonical
Hon CM	GATA5	1373	6	tf_targeting
Hon CM	GATA6	654	6	tf_targeting
Hon CM	GATAD1	566	6	tf_targeting
Hon CM	GATAD2A	1809	12	tf_targeting
Hon CM	GATAD2B	951	6	tf_targeting
Hon CM	GBX1	3391	12	tf_targeting
Hon CM	GBX2	917	6	tf_targeting
Hon CM	GCFC2	1115	6	tf_targeting
Hon CM	GCM1	844	6	tf_targeting
Hon CM	GCM2	976	6	tf_targeting
Hon CM	GFI1	2937	12	tf_targeting
Hon CM	GFI1B	930	6	tf_targeting
Hon CM	GLI1	531	6	tf_targeting
Hon CM	GLI2	1299	12	tf_targeting
Hon CM	GLI3	2650	6	tf_targeting
Hon CM	GLI4	1464	6	tf_targeting
Hon CM	GLIS1	707	6	tf_targeting
Hon CM	GLIS2	844	6	tf_targeting
Hon CM	GLIS3	2157	6	tf_targeting
Hon CM	GLYR1	2397	6	tf_targeting
Hon CM	GMEB1	1108	6	tf_targeting
Hon CM	GMEB2	150	6	tf_targeting
Hon CM	GON4L	910	12	tf_targeting
Hon CM	GPBP1	561	6	tf_targeting
Hon CM	GPBP1L1	596	6	tf_targeting
Hon CM	GRHL1	1053	6	tf_targeting
Hon CM	GRHL2	1223	6	tf_targeting
Hon CM	GRHL3	1468	6	tf_targeting
Hon CM	GSC	430	5	tf_targeting
Hon CM	GSC2	1837	6	tf_targeting
Hon CM	GSX1	1717	6	tf_targeting
Hon CM	GSX2	601	6	tf_targeting
Hon CM	GTF2A1	275	6	tf_targeting
Hon CM	GTF2A1L	849	6	tf_targeting
Hon CM	GTF2A2	129	6	tf_targeting
Hon CM	GTF2B	13	6	tf_targeting
Hon CM	GTF2E1	60	6	tf_targeting
Hon CM	GTF2F1	27	6	tf_targeting
Hon CM	GTF2F2	121	6	tf_targeting
Hon CM	GTF2H1	84	6	tf_targeting
Hon CM	GTF2H3	70	6	tf_targeting
Hon CM	GTF2I	885	6	tf_targeting
Hon CM	GTF2IRD1	861	6	tf_targeting
Hon CM	GTF3A	523	6	tf_targeting
Hon CM	GTF3C3	3	6	tf_targeting
Hon CM	GZF1	823	6	tf_targeting
Hon CM	HAND1	4077	6	tf_targeting
Hon CM	HAND2	4201	12	tf_targeting
Hon CM	HBP1	1643	6	tf_targeting
Hon CM	HCFC1	549	6	tf_targeting
Hon CM	HCLS1	926	6	tf_targeting
Hon CM	HDAC1	760	6	tf_targeting
Hon CM	HDAC3	189	6	tf_targeting
Hon CM	HDAC4	1307	6	tf_targeting
Hon CM	HDAC5	1771	6	tf_targeting
Hon CM	HDGF	1525	6	tf_targeting
Hon CM	HDX	646	6	tf_targeting
Hon CM	HELT	915	6	tf_targeting
Hon CM	HELZ2	2717	12	tf_targeting
Hon CM	HES1	75	6	tf_targeting
Hon CM	HES2	4079	12	tf_targeting
Hon CM	HES3	868	6	tf_targeting
Hon CM	HES4	1366	6	tf_targeting
Hon CM	HES5	2472	6	tf_targeting
Hon CM	HES6	2347	6	tf_targeting
Hon CM	HES7	838	6	tf_targeting
Hon CM	HESX1	2169	12	tf_targeting
Hon CM	HEY1	646	6	tf_targeting
Hon CM	HEY2	1609	6	tf_targeting
Hon CM	HEYL	846	6	tf_targeting
Hon CM	HHEX	1278	6	tf_targeting
Hon CM	HIC1	1602	6	tf_targeting
Hon CM	HIF1A	772	6	tf_targeting
Hon CM	HIF3A	1706	12	tf_targeting
Hon CM	HINFP	6	6	tf_targeting
Hon CM	HIRA	1297	12	tf_targeting
Hon CM	HIVEP1	495	6	tf_targeting
Hon CM	HIVEP2	1746	6	tf_targeting
Hon CM	HIVEP3	1990	14	tf_targeting
Hon CM	HKR1	2216	12	tf_targeting
Hon CM	HLF	3288	12	tf_targeting
Hon CM	HLTF	1340	6	tf_targeting
Hon CM	HLX	1110	6	tf_targeting
Hon CM	HMBOX1	884	6	tf_targeting
Hon CM	HMG20A	579	6	tf_targeting
Hon CM	HMG20B	3253	12	tf_targeting
Hon CM	HMGA1	943	6	tf_targeting
Hon CM	HMGA2	1162	6	tf_targeting
Hon CM	HMGB1	1879	12	tf_targeting
Hon CM	HMGB2	1259	6	tf_targeting
Hon CM	HMGB3	1342	6	tf_targeting
Hon CM	HMGB4	749	6	tf_targeting
Hon CM	HMGN2	1725	6	tf_targeting
Hon CM	HMGN3	1179	6	tf_targeting
Hon CM	HMGXB3	398	6	tf_targeting
Hon CM	HMGXB4	1785	6	tf_targeting
Hon CM	HMX1	2123	6	tf_targeting
Hon CM	HMX2	1547	6	tf_targeting
Hon CM	HMX3	1530	6	tf_targeting
Hon CM	HNF1A	1282	6	tf_targeting
Hon CM	HNF1B	1053	6	tf_targeting
Hon CM	HNF4A	1271	6	tf_targeting
Hon CM	HNF4G	1213	12	tf_targeting
Hon CM	HNRNPK	135	6	tf_targeting
Hon CM	HNRNPU	270	6	tf_targeting
Hon CM	HOMEZ	586	6	tf_targeting
Hon CM	HOPX	5602	12	tf_targeting
Hon CM	HOXA1	889	6	tf_targeting
Hon CM	HOXA10	861	6	tf_targeting
