,pval_outlier
non-targeting_01922,1
non-targeting_01923,0
non-targeting_01933,1
non-targeting_01938,1
non-targeting_01939,0
non-targeting_01942,1
non-targeting_01946,1
non-targeting_01948,1
non-targeting_01955,1
non-targeting_01956,1
non-targeting_01957,1
non-targeting_01958,1
non-targeting_01961,1
non-targeting_01967,1
non-targeting_01976,1
non-targeting_01981,1
non-targeting_01987,1
non-targeting_01989,1
non-targeting_01992,1
non-targeting_01999,1
non-targeting_02002,1
non-targeting_02004,1
non-targeting_02010,1
non-targeting_02021,1
non-targeting_02027,1
non-targeting_02030,1
non-targeting_02034,1
non-targeting_02037,1
non-targeting_02046,1
non-targeting_02049,1
non-targeting_02052,1
non-targeting_02057,1
non-targeting_02074,1
non-targeting_02080,1
non-targeting_02085,1
non-targeting_02093,1
non-targeting_02095,1
non-targeting_02097,1
non-targeting_02100,1
non-targeting_02114,1
non-targeting_02119,1
non-targeting_02121,1
non-targeting_02126,1
non-targeting_02152,1
non-targeting_02154,1
non-targeting_02178,1
non-targeting_02180,0
non-targeting_02181,1
non-targeting_02183,1
non-targeting_02196,1
non-targeting_02198,1
non-targeting_02200,1
non-targeting_02202,1
non-targeting_02205,1
non-targeting_02216,1
non-targeting_02223,1
non-targeting_02226,1
non-targeting_02227,1
non-targeting_02229,1
non-targeting_02233,1
non-targeting_02237,0
non-targeting_02242,1
non-targeting_02243,1
non-targeting_02244,1
non-targeting_02260,1
non-targeting_02262,1
non-targeting_02271,1
non-targeting_02272,1
non-targeting_02273,1
non-targeting_02276,1
non-targeting_02282,1
non-targeting_02293,1
non-targeting_02298,1
non-targeting_02307,1
non-targeting_02309,1
non-targeting_02310,1
non-targeting_02312,1
non-targeting_02314,1
non-targeting_02332,1
non-targeting_02340,0
non-targeting_02354,1
non-targeting_02357,1
non-targeting_02364,1
non-targeting_02385,1
non-targeting_02396,1
non-targeting_02401,1
non-targeting_02416,1
non-targeting_02417,1
non-targeting_02421,1
non-targeting_02432,1
non-targeting_02433,1
non-targeting_02442,1
non-targeting_02443,1
non-targeting_02446,1
non-targeting_02455,1
non-targeting_02456,1
non-targeting_02459,1
non-targeting_02461,1
non-targeting_02462,1
non-targeting_02465,1
non-targeting_02466,1
non-targeting_02467,1
non-targeting_02468,1
non-targeting_02478,1
non-targeting_02484,1
non-targeting_02487,1
non-targeting_02488,1
non-targeting_02493,1
non-targeting_02496,1
non-targeting_02498,1
non-targeting_02510,1
non-targeting_02511,1
non-targeting_02513,1
non-targeting_02514,1
non-targeting_02515,1
non-targeting_02520,1
non-targeting_02524,1
non-targeting_02537,0
non-targeting_02542,1
non-targeting_02567,1
non-targeting_02570,1
non-targeting_02573,1
non-targeting_02577,1
non-targeting_02578,1
non-targeting_02580,1
non-targeting_02595,1
non-targeting_02597,0
non-targeting_02600,1
non-targeting_02602,1
non-targeting_02607,1
non-targeting_02608,0
non-targeting_02610,1
non-targeting_02611,1
non-targeting_02628,1
non-targeting_02633,1
non-targeting_02643,1
