batch	dataset	short_name	n_cells	umi_median	genes_median	mito_median	guide_umi_median	guides_per_cell_mean
C5_S21	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	25654	10465.5	3610.0	2.574411	596.0	2.1182271770484133
C6_S22	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	24680	11291.0	3779.0	2.695311	790.0	2.186507293354943
C7_S23	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	25989	9774.0	3459.0	2.5785656	674.0	2.1749586363461466
C8_S24	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	27301	10040.0	3497.0	2.555697	604.0	2.1344639390498514
D1_S25	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	21851	8385.0	3132.0	2.4872448	633.0	2.145027687520022
D2_S26	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	27544	10745.0	3594.0	2.576785	525.0	2.0624455416787684
D3_S27	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	25171	9595.0	3382.0	2.5632262	608.0	2.1170394501609
D4_S28	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	26341	10239.0	3522.0	2.5888405	521.0	2.0243726510003417
D5_S29	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	25511	10972.0	3666.0	2.5441794	594.0	2.0834541962290776
D6_S30	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	26106	10191.0	3501.0	2.5518727	544.0	2.0886003217651115
D7_S31	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	24604	9052.0	3278.0	2.579808	579.0	2.1225816940334905
D8_S32	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	26036	9342.0	3314.0	2.2771168	483.0	2.041865109847903
E1_S33	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	22425	9683.0	3403.0	2.5127108	601.0	2.103188405797101
E2_S34	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	22304	11051.0	3648.0	2.4729054	659.0	2.088414634146341
E3_S35	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	23934	11715.5	3817.0	2.344519	620.0	2.0353472048132364
E4_S36	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	23534	11706.5	3788.0	2.5675826	714.0	2.087150505651398
E5_S37	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	23332	10638.0	3610.0	2.428359	425.0	1.8928938796502657
E6_S38	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	24073	11504.0	3771.0	2.5084505	659.0	2.1029784405765795
E7_S39	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	21704	9695.0	3406.0	2.514596	585.0	2.040591596019167
E8_S40	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	22687	10113.0	3459.0	2.612891	729.0	2.1783840966192094
F1_S41	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	11148	7272.5	2840.0	3.437784	139.0	1.352350197344815
F2_S42	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	10678	7313.0	2852.0	3.58325	121.0	1.2854467128675782
F3_S43	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	11979	7381.0	2872.0	3.7158024	121.0	1.2683028633441855
F4_S44	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	15149	8201.0	3030.0	3.6038246	147.0	1.4132285959469273
F5_S45	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	14709	7962.0	2979.0	3.5177305	134.0	1.3360527568155551
F6_S46	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	15129	7831.0	2976.0	3.7010677	137.0	1.355938925242911
F7_S47	Gersbach_WTC11-hepatocyte-differentiation_TF-Perturb-seq	Gersbach Hep	15069	7741.0	2939.0	3.716069	127.0	1.306788771650408
