gene_symbol	ncbi_gene_id	n_disease_associations	mondo_ids	omim_ids	all_disease_ids
CPAMD8	NCBIGene:27151	1		OMIM:617319	OMIM:617319
HCRT	NCBIGene:3060	1		OMIM:161400	OMIM:161400
HDAC6	NCBIGene:10013	1		OMIM:300863	OMIM:300863
HDAC8	NCBIGene:55869	1		OMIM:300882	OMIM:300882
HDAC9	NCBIGene:9734	1		OMIM:620457	OMIM:620457
HDC	NCBIGene:3067	1		OMIM:137580	OMIM:137580
HEATR3	NCBIGene:55027	1		OMIM:620072	OMIM:620072
HECTD4	NCBIGene:283450	1		OMIM:620250	OMIM:620250
HECW2	NCBIGene:57520	1		OMIM:617268	OMIM:617268
HELLS	NCBIGene:3070	1		OMIM:616911	OMIM:616911
CP	NCBIGene:1356	1		OMIM:604290	OMIM:604290
HEPHL1	NCBIGene:341208	1		OMIM:261990	OMIM:261990
HERC1	NCBIGene:8925	1		OMIM:617011	OMIM:617011
COXFA4	NCBIGene:4697	1		OMIM:619065	OMIM:619065
HES7	NCBIGene:84667	1		OMIM:613686	OMIM:613686
HESX1	NCBIGene:8820	1		OMIM:182230	OMIM:182230
HEXA	NCBIGene:3073	1		OMIM:272800	OMIM:272800
HEXB	NCBIGene:3074	1		OMIM:268800	OMIM:268800
HFE	NCBIGene:3077	1		OMIM:235200	OMIM:235200
HFM1	NCBIGene:164045	1		OMIM:615724	OMIM:615724
HBG1	NCBIGene:3047	1		OMIM:141749	OMIM:141749
HAX1	NCBIGene:10456	1		OMIM:610738	OMIM:610738
CRADD	NCBIGene:8738	1		OMIM:614499	OMIM:614499
HAVCR2	NCBIGene:84868	1		OMIM:618398	OMIM:618398
CPT1C	NCBIGene:126129	1		OMIM:616282	OMIM:616282
CPT1A	NCBIGene:1374	1		OMIM:255120	OMIM:255120
GYS1	NCBIGene:2997	1		OMIM:611556	OMIM:611556
GYS2	NCBIGene:2998	1		OMIM:240600	OMIM:240600
GZF1	NCBIGene:64412	1		OMIM:617662	OMIM:617662
H1-4	NCBIGene:3008	1		OMIM:617537	OMIM:617537
H19	NCBIGene:283120	1		OMIM:194070	OMIM:194070
H3-3A	NCBIGene:3020	1		OMIM:619720	OMIM:619720
H3-3B	NCBIGene:3021	1		OMIM:619721	OMIM:619721
H4C11	NCBIGene:8363	1		OMIM:619759	OMIM:619759
H4C3	NCBIGene:8364	1		OMIM:619758	OMIM:619758
H4C5	NCBIGene:8367	1		OMIM:619950	OMIM:619950
H4C9	NCBIGene:8294	1		OMIM:619951	OMIM:619951
H6PD	NCBIGene:9563	1		OMIM:604931	OMIM:604931
HAAO	NCBIGene:23498	1		OMIM:617660	OMIM:617660
CPSF3	NCBIGene:51692	1		OMIM:619876	OMIM:619876
HACD1	NCBIGene:9200	1		OMIM:619967	OMIM:619967
HACE1	NCBIGene:57531	1		OMIM:616756	OMIM:616756
CPSF1	NCBIGene:29894	1		OMIM:618827	OMIM:618827
CPS1	NCBIGene:1373	1		OMIM:237300	OMIM:237300
HADHB	NCBIGene:3032	1		OMIM:620300	OMIM:620300
HAGH	NCBIGene:3029	1		OMIM:614033	OMIM:614033
HAL	NCBIGene:3034	1		OMIM:235800	OMIM:235800
HAMP	NCBIGene:57817	1		OMIM:613313	OMIM:613313
HARS2	NCBIGene:23438	1		OMIM:614926	OMIM:614926
GPIHBP1	NCBIGene:338328	1		OMIM:615947	OMIM:615947
CRTAP	NCBIGene:10491	1		OMIM:610682	OMIM:610682
HGF	NCBIGene:3082	1		OMIM:608265	OMIM:608265
GGN	NCBIGene:199720	1		OMIM:619826	OMIM:619826
GGT1	NCBIGene:2678	1		OMIM:231950	OMIM:231950
CTHRC1	NCBIGene:115908	1		OMIM:614266	OMIM:614266
CTH	NCBIGene:1491	1		OMIM:219500	OMIM:219500
GHRHR	NCBIGene:2692	1		OMIM:618157	OMIM:618157
GHRL	NCBIGene:51738	1		OMIM:601665	OMIM:601665
GHSR	NCBIGene:2693	1		OMIM:615925	OMIM:615925
GIGYF2	NCBIGene:26058	1		OMIM:607688	OMIM:607688
GIMAP5	NCBIGene:55340	1		OMIM:619463	OMIM:619463
GINS1	NCBIGene:9837	1		OMIM:617827	OMIM:617827
GIPC1	NCBIGene:10755	1		OMIM:618940	OMIM:618940
GIPC3	NCBIGene:126326	1		OMIM:601869	OMIM:601869
CTDP1	NCBIGene:9150	1		OMIM:604168	OMIM:604168
GJA3	NCBIGene:2700	1		OMIM:601885	OMIM:601885
CTCF	NCBIGene:10664	1		OMIM:615502	OMIM:615502
CTC1	NCBIGene:80169	1		OMIM:612199	OMIM:612199
GJB1	NCBIGene:2705	1		OMIM:302800	OMIM:302800
CT55	NCBIGene:54967	1		OMIM:301106	OMIM:301106
GJB4	NCBIGene:127534	1		OMIM:617524	OMIM:617524
CSTF2	NCBIGene:1478	1		OMIM:301116	OMIM:301116
CSTB	NCBIGene:1476	1		OMIM:254800	OMIM:254800
GK	NCBIGene:2710	1		OMIM:307030	OMIM:307030
GLA	NCBIGene:2717	1		OMIM:301500	OMIM:301500
CSTA	NCBIGene:1475	1		OMIM:607936	OMIM:607936
GLCCI1	NCBIGene:113263	1		OMIM:614400	OMIM:614400
GLDC	NCBIGene:2731	1		OMIM:605899	OMIM:605899
GGPS1	NCBIGene:9453	1		OMIM:619518	OMIM:619518
CTLA4	NCBIGene:1493	1		OMIM:616100	OMIM:616100
CST6	NCBIGene:1474	1		OMIM:618535	OMIM:618535
GFRA1	NCBIGene:2674	1		OMIM:619887	OMIM:619887
GCNA	NCBIGene:93953	1		OMIM:301077	OMIM:301077
GCSH	NCBIGene:2653	1		OMIM:620423	OMIM:620423
CTRC	NCBIGene:11330	1		OMIM:167800	OMIM:167800
GDAP2	NCBIGene:54834	1		OMIM:618369	OMIM:618369
CTPS1	NCBIGene:1503	1		OMIM:615897	OMIM:615897
GDF11	NCBIGene:10220	1		OMIM:619122	OMIM:619122
GDF15	NCBIGene:9518	1		OMIM:620730	OMIM:620730
GDF2	NCBIGene:2658	1		OMIM:615506	OMIM:615506
CTNND1	NCBIGene:1500	1		OMIM:617681	OMIM:617681
CTNNBL1	NCBIGene:56259	1		OMIM:619846	OMIM:619846
CTNNA3	NCBIGene:29119	1		OMIM:615616	OMIM:615616
GDF9	NCBIGene:2661	1		OMIM:618014	OMIM:618014
GDI1	NCBIGene:2664	1		OMIM:300849	OMIM:300849
GDNF	NCBIGene:2668	1		OMIM:613711	OMIM:613711
GEMIN4	NCBIGene:50628	1		OMIM:617913	OMIM:617913
GEMIN5	NCBIGene:25929	1		OMIM:619333	OMIM:619333
GET3	NCBIGene:439	1		OMIM:620203	OMIM:620203
GET4	NCBIGene:51608	1		OMIM:620200	OMIM:620200
GFAP	NCBIGene:2670	1		OMIM:203450	OMIM:203450
GFER	NCBIGene:2671	1		OMIM:613076	OMIM:613076
CTNNA2	NCBIGene:1496	1		OMIM:618174	OMIM:618174
GFI1B	NCBIGene:8328	1		OMIM:187900	OMIM:187900
GFM1	NCBIGene:85476	1		OMIM:609060	OMIM:609060
GFM2	NCBIGene:84340	1		OMIM:618397	OMIM:618397
CTNNA1	NCBIGene:1495	1		OMIM:608970	OMIM:608970
GLDN	NCBIGene:342035	1		OMIM:617194	OMIM:617194
CSPP1	NCBIGene:79848	1		OMIM:615636	OMIM:615636
GPD2	NCBIGene:2820	1		OMIM:125853	OMIM:125853
GNB4	NCBIGene:59345	1		OMIM:615185	OMIM:615185
CRYBB2	NCBIGene:1415	1		OMIM:601547	OMIM:601547
GNMT	NCBIGene:27232	1		OMIM:606664	OMIM:606664
GNPAT	NCBIGene:8443	1		OMIM:222765	OMIM:222765
GNPNAT1	NCBIGene:64841	1		OMIM:619598	OMIM:619598
CRYBB1	NCBIGene:1414	1		OMIM:611544	OMIM:611544
GNPTG	NCBIGene:84572	1		OMIM:252605	OMIM:252605
CRYBA4	NCBIGene:1413	1		OMIM:610425	OMIM:610425
GNRHR	NCBIGene:2798	1		OMIM:146110	OMIM:146110
GNS	NCBIGene:2799	1		OMIM:252940	OMIM:252940
GOLGA2	NCBIGene:2801	1		OMIM:620240	OMIM:620240
GON4L	NCBIGene:54856	1		OMIM:621212	OMIM:621212
GORAB	NCBIGene:92344	1		OMIM:231070	OMIM:231070
CRYBA2	NCBIGene:1412	1		OMIM:115900	OMIM:115900
GOT1	NCBIGene:2805	1		OMIM:614419	OMIM:614419
GOT2	NCBIGene:2806	1		OMIM:618721	OMIM:618721
CRYBA1	NCBIGene:1411	1		OMIM:600881	OMIM:600881
GP1BB	NCBIGene:2812	1		OMIM:231200	OMIM:231200
GP6	NCBIGene:51206	1		OMIM:614201	OMIM:614201
GP9	NCBIGene:2815	1		OMIM:231200	OMIM:231200
GPAA1	NCBIGene:8733	1		OMIM:617810	OMIM:617810
CRYAA	NCBIGene:1409	1		OMIM:604219	OMIM:604219
CRY1	NCBIGene:1407	1		OMIM:614163	OMIM:614163
GPC6	NCBIGene:10082	1		OMIM:258315	OMIM:258315
GPD1	NCBIGene:2819	1		OMIM:614480	OMIM:614480
GPD1L	NCBIGene:23171	1		OMIM:611777	OMIM:611777
CRYBB3	NCBIGene:1417	1		OMIM:609741	OMIM:609741
CRYGB	NCBIGene:1419	1		OMIM:615188	OMIM:615188
CSNK2B	NCBIGene:1460	1		OMIM:618732	OMIM:618732
CRYGC	NCBIGene:1420	1		OMIM:604307	OMIM:604307
GLIS2	NCBIGene:84662	1		OMIM:611498	OMIM:611498
GLIS3	NCBIGene:169792	1		OMIM:610199	OMIM:610199
GLMN	NCBIGene:11146	1		OMIM:138000	OMIM:138000
GLRA1	NCBIGene:2741	1		OMIM:149400	OMIM:149400
GLRA2	NCBIGene:2742	1		OMIM:301076	OMIM:301076
GLRB	NCBIGene:2743	1		OMIM:614619	OMIM:614619
CSNK2A1	NCBIGene:1457	1		OMIM:617062	OMIM:617062
CSNK1D	NCBIGene:1453	1		OMIM:615224	OMIM:615224
GLUD1	NCBIGene:2746	1		OMIM:606762	OMIM:606762
CSGALNACT1	NCBIGene:55790	1		OMIM:618870	OMIM:618870
GLYCTK	NCBIGene:132158	1		OMIM:220120	OMIM:220120
GM2A	NCBIGene:2760	1		OMIM:272750	OMIM:272750
GMNN	NCBIGene:51053	1		OMIM:616835	OMIM:616835
GMPPA	NCBIGene:29926	1		OMIM:615510	OMIM:615510
CSF2RB	NCBIGene:1439	1		OMIM:614370	OMIM:614370
GNAI1	NCBIGene:2770	1		OMIM:619854	OMIM:619854
GNAI2	NCBIGene:2771	1		OMIM:192605	OMIM:192605
GNAI3	NCBIGene:2773	1		OMIM:602483	OMIM:602483
GNAL	NCBIGene:2774	1		OMIM:615073	OMIM:615073
CSF2RA	NCBIGene:1438	1		OMIM:300770	OMIM:300770
CRYM	NCBIGene:1428	1		OMIM:616357	OMIM:616357
GNAS-AS1	NCBIGene:149775	1		OMIM:603233	OMIM:603233
CRYGS	NCBIGene:1427	1		OMIM:116100	OMIM:116100
GNAT2	NCBIGene:2780	1		OMIM:613856	OMIM:613856
CRYGD	NCBIGene:1421	1		OMIM:115700	OMIM:115700
HGD	NCBIGene:3081	1		OMIM:203500	OMIM:203500
COX8A	NCBIGene:1351	1		OMIM:619059	OMIM:619059
GCLM	NCBIGene:2730	1		OMIM:608446	OMIM:608446
IL10RA	NCBIGene:3587	1		OMIM:613148	OMIM:613148
IL12B	NCBIGene:3593	1		OMIM:614890	OMIM:614890
IL12RB1	NCBIGene:3594	1		OMIM:614891	OMIM:614891
COG5	NCBIGene:10466	1		OMIM:613612	OMIM:613612
IL17F	NCBIGene:112744	1		OMIM:613956	OMIM:613956
IL17RA	NCBIGene:23765	1		OMIM:613953	OMIM:613953
IL17RC	NCBIGene:84818	1		OMIM:616445	OMIM:616445
IL17RD	NCBIGene:54756	1		OMIM:615267	OMIM:615267
IL18BP	NCBIGene:10068	1		OMIM:618549	OMIM:618549
IL1B	NCBIGene:3553	1		OMIM:613659	OMIM:613659
IL1R1	NCBIGene:3554	1		OMIM:259680	OMIM:259680
IL1RAPL1	NCBIGene:11141	1		OMIM:300143	OMIM:300143
IL21	NCBIGene:59067	1		OMIM:615767	OMIM:615767
IL21R	NCBIGene:50615	1		OMIM:615207	OMIM:615207
COG3	NCBIGene:83548	1		OMIM:620546	OMIM:620546
IL27RA	NCBIGene:9466	1		OMIM:621405	OMIM:621405
COG2	NCBIGene:22796	1		OMIM:617395	OMIM:617395
IL2RB	NCBIGene:3560	1		OMIM:618495	OMIM:618495
COG1	NCBIGene:9382	1		OMIM:611209	OMIM:611209
IL31RA	NCBIGene:133396	1		OMIM:613955	OMIM:613955
IL36RN	NCBIGene:26525	1		OMIM:614204	OMIM:614204
IL37	NCBIGene:27178	1		OMIM:619398	OMIM:619398
COA8	NCBIGene:84334	1		OMIM:619061	OMIM:619061
IL7	NCBIGene:3574	1		OMIM:618309	OMIM:618309
IL7R	NCBIGene:3575	1		OMIM:608971	OMIM:608971
ILDR1	NCBIGene:286676	1		OMIM:609646	OMIM:609646
IL11RA	NCBIGene:3590	1		OMIM:614188	OMIM:614188
COG7	NCBIGene:91949	1		OMIM:608779	OMIM:608779
COA7	NCBIGene:65260	1		OMIM:618387	OMIM:618387
IKZF5	NCBIGene:64376	1		OMIM:619130	OMIM:619130
IFT27	NCBIGene:11020	1		OMIM:615996	OMIM:615996
IFT52	NCBIGene:51098	1		OMIM:617102	OMIM:617102
IFT56	NCBIGene:79989	1		OMIM:619534	OMIM:619534
IFT57	NCBIGene:55081	1		OMIM:617927	OMIM:617927
COL27A1	NCBIGene:85301	1		OMIM:615155	OMIM:615155
IFT80	NCBIGene:57560	1		OMIM:611263	OMIM:611263
IFT81	NCBIGene:28981	1		OMIM:617895	OMIM:617895
IGBP1	NCBIGene:3476	1		OMIM:300472	OMIM:300472
IGF1	NCBIGene:3479	1		OMIM:608747	OMIM:608747
IGF1R	NCBIGene:3480	1		OMIM:270450	OMIM:270450
COL25A1	NCBIGene:84570	1		OMIM:616219	OMIM:616219
IGF2BP2	NCBIGene:10644	1		OMIM:125853	OMIM:125853
IGF2R	NCBIGene:3482	1		OMIM:114550	OMIM:114550
IGFALS	NCBIGene:3483	1		OMIM:615961	OMIM:615961
IGFBP7	NCBIGene:3490	1		OMIM:614224	OMIM:614224
IGHM	NCBIGene:3507	1		OMIM:601495	OMIM:601495
IGKC	NCBIGene:3514	1		OMIM:614102	OMIM:614102
IGLL1	NCBIGene:3543	1		OMIM:613500	OMIM:613500
IGSF1	NCBIGene:3547	1		OMIM:300888	OMIM:300888
IGSF3	NCBIGene:3321	1		OMIM:149700	OMIM:149700
COL13A1	NCBIGene:1305	1		OMIM:616720	OMIM:616720
COL10A1	NCBIGene:1300	1		OMIM:156500	OMIM:156500
IKZF1	NCBIGene:10320	1		OMIM:616873	OMIM:616873
COG8	NCBIGene:84342	1		OMIM:611182	OMIM:611182
IKZF3	NCBIGene:22806	1		OMIM:619437	OMIM:619437
IMPA1	NCBIGene:3612	1		OMIM:617323	OMIM:617323
IMPDH2	NCBIGene:3615	1		OMIM:617995	OMIM:617995
COL4A6	NCBIGene:1288	1		OMIM:300914	OMIM:300914
IRF3	NCBIGene:3661	1		OMIM:616532	OMIM:616532
CNNM4	NCBIGene:26504	1		OMIM:217080	OMIM:217080
IRF7	NCBIGene:3665	1		OMIM:616345	OMIM:616345
CNKSR2	NCBIGene:22866	1		OMIM:301008	OMIM:301008
IRF9	NCBIGene:10379	1		OMIM:618648	OMIM:618648
CNGB3	NCBIGene:54714	1		OMIM:262300	OMIM:262300
IRS1	NCBIGene:3667	1		OMIM:125853	OMIM:125853
IRS2	NCBIGene:8660	1		OMIM:125853	OMIM:125853
IRS4	NCBIGene:8471	1		OMIM:301035	OMIM:301035
IRX5	NCBIGene:10265	1		OMIM:611174	OMIM:611174
ISCA1	NCBIGene:81689	1		OMIM:617613	OMIM:617613
ISCA2	NCBIGene:122961	1		OMIM:616370	OMIM:616370
ISCU	NCBIGene:23479	1		OMIM:255125	OMIM:255125
ISG15	NCBIGene:9636	1		OMIM:616126	OMIM:616126
ITCH	NCBIGene:83737	1		OMIM:613385	OMIM:613385
ITGA2	NCBIGene:3673	1		OMIM:621267	OMIM:621267
CNGB1	NCBIGene:1258	1		OMIM:613767	OMIM:613767
ITGA3	NCBIGene:3675	1		OMIM:614748	OMIM:614748
CNGA3	NCBIGene:1261	1		OMIM:216900	OMIM:216900
ITGA7	NCBIGene:3679	1		OMIM:613204	OMIM:613204
ITGA8	NCBIGene:8516	1		OMIM:191830	OMIM:191830
ITGAV	NCBIGene:3685	1		OMIM:621375	OMIM:621375
ITGB2	NCBIGene:3689	1		OMIM:116920	OMIM:116920
CNBP	NCBIGene:7555	1		OMIM:602668	OMIM:602668
ITGB6	NCBIGene:3694	1		OMIM:616221	OMIM:616221
ITK	NCBIGene:3702	1		OMIM:613011	OMIM:613011
CNOT2	NCBIGene:4848	1		OMIM:618608	OMIM:618608
IRF2BPL	NCBIGene:64207	1		OMIM:618088	OMIM:618088
COA6	NCBIGene:388753	1		OMIM:616501	OMIM:616501
IRF2BP2	NCBIGene:359948	1		OMIM:617765	OMIM:617765
COA5	NCBIGene:493753	1		OMIM:616500	OMIM:616500
INAVA	NCBIGene:55765	1		OMIM:618077	OMIM:618077
COA3	NCBIGene:28958	1		OMIM:619058	OMIM:619058
ING1	NCBIGene:3621	1		OMIM:275355	OMIM:275355
INPP4A	NCBIGene:3631	1		OMIM:621354	OMIM:621354
INPP5K	NCBIGene:51763	1		OMIM:617404	OMIM:617404
INPPL1	NCBIGene:3636	1		OMIM:258480	OMIM:258480
INSL3	NCBIGene:3640	1		OMIM:219050	OMIM:219050
CNTN2	NCBIGene:6900	1		OMIM:615400	OMIM:615400
INTS1	NCBIGene:26173	1		OMIM:618571	OMIM:618571
INTS11	NCBIGene:54973	1		OMIM:620428	OMIM:620428
INTS8	NCBIGene:55656	1		OMIM:618572	OMIM:618572
CNTN1	NCBIGene:1272	1		OMIM:612540	OMIM:612540
INVS	NCBIGene:27130	1		OMIM:602088	OMIM:602088
IPO8	NCBIGene:10526	1		OMIM:619472	OMIM:619472
IPW	NCBIGene:3653	1		OMIM:176270	OMIM:176270
IQCB1	NCBIGene:9657	1		OMIM:609254	OMIM:609254
IQCE	NCBIGene:23288	1		OMIM:617642	OMIM:617642
IQCN	NCBIGene:80726	1		OMIM:620170	OMIM:620170
IQSEC1	NCBIGene:9922	1		OMIM:618687	OMIM:618687
IQSEC2	NCBIGene:23096	1		OMIM:309530	OMIM:309530
IRAK3	NCBIGene:11213	1		OMIM:611064	OMIM:611064
IRAK4	NCBIGene:51135	1		OMIM:607676	OMIM:607676
IREB2	NCBIGene:3658	1		OMIM:618451	OMIM:618451
CNOT3	NCBIGene:4849	1		OMIM:618672	OMIM:618672
COL4A5	NCBIGene:1287	1		OMIM:301050	OMIM:301050
IFT122	NCBIGene:55764	1		OMIM:218330	OMIM:218330
HHAT	NCBIGene:55733	1		OMIM:600092	OMIM:600092
COX14	NCBIGene:84987	1		OMIM:619053	OMIM:619053
HNRNPC	NCBIGene:3183	1		OMIM:620688	OMIM:620688
HNRNPDL	NCBIGene:9987	1		OMIM:609115	OMIM:609115
HNRNPH1	NCBIGene:3187	1		OMIM:620083	OMIM:620083
HNRNPH2	NCBIGene:3188	1		OMIM:300986	OMIM:300986
HNRNPK	NCBIGene:3190	1		OMIM:616580	OMIM:616580
HNRNPR	NCBIGene:10236	1		OMIM:620073	OMIM:620073
HNRNPU	NCBIGene:3192	1		OMIM:617391	OMIM:617391
HOGA1	NCBIGene:112817	1		OMIM:613616	OMIM:613616
HOMER2	NCBIGene:9455	1		OMIM:616707	OMIM:616707
HOXA1	NCBIGene:3198	1		OMIM:601536	OMIM:601536
HOXA11	NCBIGene:3207	1		OMIM:605432	OMIM:605432
CORO1A	NCBIGene:11151	1		OMIM:615401	OMIM:615401
HOXA2	NCBIGene:3199	1		OMIM:612290	OMIM:612290
HOXB1	NCBIGene:3211	1		OMIM:614744	OMIM:614744
HOXB13	NCBIGene:10481	1		OMIM:610997	OMIM:610997
HOXC13	NCBIGene:3229	1		OMIM:614931	OMIM:614931
HOXD10	NCBIGene:3236	1		OMIM:192950	OMIM:192950
HP	NCBIGene:3240	1		OMIM:614081	OMIM:614081
HPCA	NCBIGene:3208	1		OMIM:224500	OMIM:224500
COQ9	NCBIGene:57017	1		OMIM:614654	OMIM:614654
COQ8B	NCBIGene:79934	1		OMIM:615573	OMIM:615573
COQ8A	NCBIGene:56997	1		OMIM:612016	OMIM:612016
HPS1	NCBIGene:3257	1		OMIM:203300	OMIM:203300
HPS3	NCBIGene:84343	1		OMIM:614072	OMIM:614072
HPS4	NCBIGene:89781	1		OMIM:614073	OMIM:614073
COX11	NCBIGene:1353	1		OMIM:620275	OMIM:620275
COX16	NCBIGene:51241	1		OMIM:619355	OMIM:619355
HPS6	NCBIGene:79803	1		OMIM:614075	OMIM:614075
HMX1	NCBIGene:3166	1		OMIM:612109	OMIM:612109
HIBCH	NCBIGene:26275	1		OMIM:250620	OMIM:250620
HID1	NCBIGene:283987	1		OMIM:619983	OMIM:619983
HIKESHI	NCBIGene:51501	1		OMIM:616881	OMIM:616881
HINT1	NCBIGene:3094	1		OMIM:137200	OMIM:137200
HIVEP2	NCBIGene:3097	1		OMIM:616977	OMIM:616977
HJV	NCBIGene:148738	1		OMIM:602390	OMIM:602390
HKDC1	NCBIGene:80201	1		OMIM:619614	OMIM:619614
HLA-A	NCBIGene:3105	1		OMIM:608579	OMIM:608579
COX6A2	NCBIGene:1339	1		OMIM:619062	OMIM:619062
HLA-DQA1	NCBIGene:3117	1		OMIM:212750	OMIM:212750
COX6A1	NCBIGene:1337	1		OMIM:616039	OMIM:616039
COX5A	NCBIGene:9377	1		OMIM:619064	OMIM:619064
HLA-G	NCBIGene:3135	1		OMIM:600807	OMIM:600807
HLCS	NCBIGene:3141	1		OMIM:253270	OMIM:253270
COX4I2	NCBIGene:84701	1		OMIM:612714	OMIM:612714
HMCN1	NCBIGene:83872	1		OMIM:603075	OMIM:603075
HMGA1	NCBIGene:3159	1		OMIM:125853	OMIM:125853
HMGA2	NCBIGene:8091	1		OMIM:618908	OMIM:618908
HMGB3	NCBIGene:3149	1		OMIM:300915	OMIM:300915
HMGCL	NCBIGene:3155	1		OMIM:246450	OMIM:246450
COX4I1	NCBIGene:1327	1		OMIM:619060	OMIM:619060
HMGCS1	NCBIGene:3157	1		OMIM:621433	OMIM:621433
HMGCS2	NCBIGene:3158	1		OMIM:605911	OMIM:605911
HMMR	NCBIGene:3161	1		OMIM:114480	OMIM:114480
COX20	NCBIGene:116228	1		OMIM:619054	OMIM:619054
HPS5	NCBIGene:11234	1		OMIM:614074	OMIM:614074
HPSE2	NCBIGene:60495	1		OMIM:236730	OMIM:236730
IFNL3	NCBIGene:282617	1		OMIM:609532	OMIM:609532
COLEC11	NCBIGene:78989	1		OMIM:265050	OMIM:265050
HYAL1	NCBIGene:3373	1		OMIM:601492	OMIM:601492
HYAL2	NCBIGene:8692	1		OMIM:621063	OMIM:621063
HYCC1	NCBIGene:84668	1		OMIM:610532	OMIM:610532
HYDIN	NCBIGene:54768	1		OMIM:608647	OMIM:608647
HYLS1	NCBIGene:219844	1		OMIM:236680	OMIM:236680
HYMAI	NCBIGene:57061	1		OMIM:601410	OMIM:601410
HYOU1	NCBIGene:10525	1		OMIM:233600	OMIM:233600
IARS1	NCBIGene:3376	1		OMIM:617093	OMIM:617093
IARS2	NCBIGene:55699	1		OMIM:616007	OMIM:616007
COLEC10	NCBIGene:10584	1		OMIM:248340	OMIM:248340
ICAM1	NCBIGene:3383	1		OMIM:611162	OMIM:611162
ICAM4	NCBIGene:3386	1		OMIM:111250	OMIM:111250
ICOSLG	NCBIGene:23308	1		OMIM:620825	OMIM:620825
IDH1	NCBIGene:3417	1		OMIM:137800	OMIM:137800
IDH2	NCBIGene:3418	1		OMIM:613657	OMIM:613657
IDH3A	NCBIGene:3419	1		OMIM:619007	OMIM:619007
IDH3B	NCBIGene:3420	1		OMIM:612572	OMIM:612572
IDH3G	NCBIGene:3421	1		OMIM:301148	OMIM:301148
IDS	NCBIGene:3423	1		OMIM:309900	OMIM:309900
IER3IP1	NCBIGene:51124	1		OMIM:614231	OMIM:614231
IFITM3	NCBIGene:10410	1		OMIM:614680	OMIM:614680
IFITM5	NCBIGene:387733	1		OMIM:610967	OMIM:610967
IFNAR1	NCBIGene:3454	1		OMIM:619935	OMIM:619935
COL5A2	NCBIGene:1290	1		OMIM:130010	OMIM:130010
IFNGR2	NCBIGene:3460	1		OMIM:614889	OMIM:614889
HUWE1	NCBIGene:10075	1		OMIM:309590	OMIM:309590
COLGALT1	NCBIGene:79709	1		OMIM:618360	OMIM:618360
COQ6	NCBIGene:51004	1		OMIM:614650	OMIM:614650
COLQ	NCBIGene:8292	1		OMIM:603034	OMIM:603034
COQ5	NCBIGene:84274	1		OMIM:619028	OMIM:619028
HRG	NCBIGene:3273	1		OMIM:613116	OMIM:613116
HROB	NCBIGene:78995	1		OMIM:620897	OMIM:620897
HRURF	NCBIGene:120766137	1		OMIM:146550	OMIM:146550
HS2ST1	NCBIGene:9653	1		OMIM:619194	OMIM:619194
HS3ST6	NCBIGene:64711	1		OMIM:619367	OMIM:619367
HS6ST2	NCBIGene:90161	1		OMIM:301025	OMIM:301025
HSCB	NCBIGene:150274	1		OMIM:619523	OMIM:619523
HSD11B1	NCBIGene:3290	1		OMIM:614662	OMIM:614662
HSD11B2	NCBIGene:3291	1		OMIM:218030	OMIM:218030
HSD17B10	NCBIGene:3028	1		OMIM:300438	OMIM:300438
HSD17B13	NCBIGene:345275	1		OMIM:620116	OMIM:620116
HSD17B3	NCBIGene:3293	1		OMIM:264300	OMIM:264300
HSD3B2	NCBIGene:3284	1		OMIM:201810	OMIM:201810
HSD3B7	NCBIGene:80270	1		OMIM:607765	OMIM:607765
HSF2BP	NCBIGene:11077	1		OMIM:619245	OMIM:619245
HSF4	NCBIGene:3299	1		OMIM:116800	OMIM:116800
HSFY1	NCBIGene:86614	1		OMIM:415000	OMIM:415000
COPZ1	NCBIGene:22818	1		OMIM:621439	OMIM:621439
COPG1	NCBIGene:22820	1		OMIM:620983	OMIM:620983
HSPB3	NCBIGene:8988	1		OMIM:613376	OMIM:613376
COPB1	NCBIGene:1315	1		OMIM:619255	OMIM:619255
COPA	NCBIGene:1314	1		OMIM:616414	OMIM:616414
HTR1A	NCBIGene:3350	1		OMIM:614674	OMIM:614674
COMT	NCBIGene:1312	1		OMIM:621296	OMIM:621296
CTSB	NCBIGene:1508	1		OMIM:148370	OMIM:148370
CTSD	NCBIGene:1509	1		OMIM:610127	OMIM:610127
PAM16	NCBIGene:51025	1		OMIM:613320	OMIM:613320
EMC10	NCBIGene:284361	1		OMIM:619264	OMIM:619264
EMG1	NCBIGene:10436	1		OMIM:211180	OMIM:211180
DHX9	NCBIGene:1660	1		OMIM:620988	OMIM:620988
EML1	NCBIGene:2009	1		OMIM:600348	OMIM:600348
EMP2	NCBIGene:2013	1		OMIM:615861	OMIM:615861
EMX2	NCBIGene:2018	1		OMIM:269160	OMIM:269160
EN1	NCBIGene:2019	1		OMIM:619218	OMIM:619218
DHX38	NCBIGene:9785	1		OMIM:618220	OMIM:618220
ENG	NCBIGene:2022	1		OMIM:187300	OMIM:187300
ENO3	NCBIGene:2027	1		OMIM:612932	OMIM:612932
ENTPD1	NCBIGene:953	1		OMIM:615683	OMIM:615683
EOGT	NCBIGene:285203	1		OMIM:615297	OMIM:615297
DHX30	NCBIGene:22907	1		OMIM:617804	OMIM:617804
EPAS1	NCBIGene:2034	1		OMIM:611783	OMIM:611783
EPB41	NCBIGene:2035	1		OMIM:611804	OMIM:611804
